N_unmapped	2324	2334	2284
N_multimapping	12592	12665	12741
N_noFeature	12467	12323	12155
N_ambiguous	12740	12524	12891
gene1.1	27	31	34
gene2.1	38	35	31
gene3.1	27	31	29
gene4.1	35	36	33
gene5.1	27	23	29
gene6.1	26	36	32
gene7.1	25	22	20
gene8.1	26	34	21
gene9.1	27	32	33
gene10.1	27	29	35
gene11.1	24	26	33
gene12.1	21	40	30
gene13.1	26	28	39
gene14.1	35	27	30
gene15.1	30	35	27
gene16.1	38	25	35
gene17.1	35	32	23
gene18.1	21	29	29
gene19.1	29	27	30
gene20.1	26	32	25
gene21.1	27	27	25
gene22.1	30	39	33
gene23.1	25	31	23
gene24.1	34	38	25
gene25.1	25	29	25
gene26.1	26	29	28
gene27.1	44	33	29
gene28.1	35	29	29
gene29.1	31	36	32
gene30.1	32	30	26
gene31.1	27	32	33
gene32.1	31	32	31
gene33.1	27	31	35
gene34.1	30	31	30
gene35.1	32	36	29
gene36.1	30	33	26
gene37.1	26	36	24
gene38.1	34	33	23
gene39.1	22	20	31
gene40.1	27	39	32
gene41.1	33	25	31
gene42.1	30	31	28
gene43.1	24	27	27
gene44.1	30	29	39
gene45.1	30	28	29
gene46.1	34	39	30
gene47.1	25	26	29
gene48.1	36	30	33
gene49.1	36	28	32
gene50.1	21	34	30
gene51.1	27	24	23
gene52.1	19	28	28
gene53.1	26	28	30
gene54.1	33	28	38
gene55.1	27	34	37
gene56.1	30	35	30
gene57.1	21	29	21
gene58.1	31	30	29
gene59.1	24	22	26
gene60.1	37	27	27
gene61.1	19	36	35
gene62.1	34	33	40
gene63.1	23	26	46
gene64.1	30	34	29
gene65.1	28	29	27
gene66.1	22	40	27
gene67.1	27	21	34
gene68.1	32	24	28
gene69.1	38	25	21
gene70.1	29	36	36
gene71.1	24	32	25
gene72.1	30	25	33
gene73.1	25	20	30
gene74.1	37	28	35
gene75.1	28	38	21
gene76.1	27	28	33
gene77.1	25	32	33
gene78.1	37	36	33
gene79.1	25	24	39
gene80.1	37	20	29
gene81.1	24	38	21
gene82.1	24	28	38
gene83.1	23	24	38
gene84.1	30	27	29
gene85.1	27	24	24
gene86.1	20	21	33
gene87.1	27	27	23
gene88.1	33	35	30
gene89.1	21	25	24
gene90.1	33	26	21
gene91.1	27	36	31
gene92.1	32	37	37
gene93.1	25	29	28
gene94.1	35	32	27
gene95.1	28	29	29
gene96.1	27	30	31
gene97.1	27	29	28
gene98.1	32	31	43
gene99.1	28	29	25
gene100.1	39	25	30
gene101.1	24	34	32
gene102.1	27	35	40
gene103.1	34	20	25
gene104.1	34	25	27
gene105.1	32	26	28
gene106.1	29	38	22
gene107.1	22	18	27
gene108.1	18	21	29
gene109.1	37	34	35
gene110.1	35	31	31
gene111.1	32	28	37
gene112.1	25	29	20
gene113.1	30	27	27
gene114.1	27	25	36
gene115.1	31	37	34
gene116.1	21	34	34
gene117.1	31	22	40
gene118.1	26	25	31
gene119.1	22	31	33
gene120.1	21	24	29
gene121.1	31	40	33
gene122.1	33	41	22
gene123.1	27	41	35
gene124.1	28	31	31
gene125.1	25	26	28
gene126.1	33	29	33
gene127.1	29	29	25
gene128.1	18	24	25
gene129.1	20	38	34
gene130.1	26	26	29
gene131.1	37	34	29
gene132.1	25	29	34
gene133.1	29	30	30
gene134.1	20	37	32
gene135.1	38	24	26
gene136.1	33	40	25
gene137.1	27	25	18
gene138.1	36	28	26
gene139.1	32	37	34
gene140.1	37	29	26
gene141.1	25	24	31
gene142.1	23	24	37
gene143.1	27	24	29
gene144.1	20	40	26
gene145.1	33	41	22
gene146.1	23	27	35
gene147.1	39	35	30
gene148.1	36	38	36
gene149.1	26	42	26
gene150.1	33	41	29
gene151.1	35	29	26
gene152.1	30	30	26
gene153.1	27	25	35
gene154.1	39	32	31
gene155.1	24	20	35
gene156.1	32	26	34
gene157.1	31	27	32
gene158.1	31	36	23
gene159.1	28	25	28
gene160.1	24	29	31
gene161.1	34	25	30
gene162.1	25	36	32
gene163.1	27	32	28
gene164.1	23	25	24
gene165.1	41	30	25
gene166.1	23	24	23
gene167.1	26	35	28
gene168.1	29	30	16
gene169.1	27	25	31
gene170.1	26	35	35
gene171.1	26	32	31
gene172.1	22	34	17
gene173.1	33	28	31
gene174.1	21	26	38
gene175.1	33	45	44
gene176.1	37	35	36
gene177.1	35	24	19
gene178.1	29	39	26
gene179.1	34	24	21
gene180.1	34	37	30
gene181.1	27	34	33
gene182.1	28	29	33
gene183.1	34	38	30
gene184.1	37	28	30
gene185.1	22	26	31
gene186.1	30	27	26
gene187.1	36	27	25
gene188.1	28	30	27
gene189.1	35	37	20
gene190.1	31	30	35
gene191.1	22	23	31
gene192.1	36	30	29
gene193.1	32	34	32
gene194.1	30	27	37
gene195.1	31	28	20
gene196.1	30	33	30
gene197.1	24	33	36
gene198.1	32	24	28
gene199.1	31	30	38
gene200.1	23	41	26
gene201.1	36	39	28
gene202.1	33	33	23
gene203.1	32	28	36
gene204.1	37	37	24
gene205.1	43	22	29
gene206.1	33	33	38
gene207.1	31	29	30
gene208.1	27	35	32
gene209.1	30	22	33
gene210.1	40	25	29
gene211.1	26	30	29
gene212.1	31	30	33
gene213.1	33	32	34
gene214.1	31	34	31
gene215.1	32	37	27
gene216.1	31	34	33
gene217.1	25	32	23
gene218.1	37	36	30
gene219.1	22	21	31
gene220.1	34	30	22
gene221.1	16	26	42
gene222.1	22	42	33
gene223.1	28	28	32
gene224.1	26	29	22
gene225.1	29	27	31
gene226.1	21	42	36
gene227.1	34	26	18
gene228.1	29	30	30
gene229.1	24	33	27
gene230.1	28	33	28
gene231.1	28	34	35
gene232.1	28	26	33
gene233.1	28	37	28
gene234.1	23	21	22
gene235.1	32	32	29
gene236.1	35	33	33
gene237.1	29	29	29
gene238.1	25	25	32
gene239.1	29	31	27
gene240.1	36	25	32
gene241.1	32	26	20
gene242.1	20	39	26
gene243.1	30	41	33
gene244.1	32	20	34
gene245.1	40	26	36
gene246.1	26	32	30
gene247.1	38	29	37
gene248.1	30	24	29
gene249.1	33	32	34
gene250.1	34	29	30
gene251.1	25	36	37
gene252.1	30	39	34
gene253.1	30	36	34
gene254.1	28	40	26
gene255.1	33	23	28
gene256.1	35	36	29
gene257.1	26	26	39
gene258.1	24	34	23
gene259.1	38	26	27
gene260.1	27	36	31
gene261.1	27	25	36
gene262.1	32	38	38
gene263.1	31	27	32
gene264.1	30	23	36
gene265.1	33	32	27
gene266.1	31	35	35
gene267.1	26	20	30
gene268.1	35	24	34
gene269.1	34	26	28
gene270.1	27	33	35
gene271.1	33	34	31
gene272.1	26	31	38
gene273.1	26	31	26
gene274.1	29	20	24
gene275.1	28	25	38
gene276.1	35	31	48
